Year,State,LGA,Season,Temperature (°C),Precipitation (mm),Weather Event,Crop 1,Crop 2,Crop 3,Planting to Harvest Duration Crop 1 (Months),Planting to Harvest Duration Crop 2 (Months),Planting to Harvest Duration Crop 3 (Months),Planting Season Crop 1,Planting Season Crop 2,Planting Season Crop 3,Effect on Crop 1,Effect on Crop 2,Effect on Crop 3,Yield Impact Crop 1 (%),Yield Impact Crop 2 (%),Yield Impact Crop 3 (%)
2020,Abia,Isiala Ngwa North,Dry,29.3,135,Normal,Rice,Cassava,Maize,4,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Abia,Isiala Ngwa South,Wet,26.5,1730,Normal,Yam,Cassava,Rice,9,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Abia,Isiala Ngwa South,Dry,28.8,89,Normal,Yam,Cassava,Maize,9,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Abia,Isuikwuato,Wet,26.9,1835,Flood,Yam,Rice,Maize,9,4,3,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-40,-35
2020,Abia,Isuikwuato,Dry,28,130,Normal,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Abia,Obi Ngwa,Wet,27.4,1898,Flood,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Reduced Yield,Crop Failure,Reduced Yield,-35,-50,-40
2020,Abia,Obi Ngwa,Dry,28.7,106,Normal,Maize,Cassava,Yam,3,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Abia,Ohafia,Wet,26.8,1815,Flood,Yam,Cassava,Rice,9,10,4,Wet,Wet,Wet,Crop Failure,Crop Failure,Reduced Yield,-50,-50,-40
2020,Abia,Ohafia,Dry,28.1,129,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Abia,Osisioma,Wet,27.3,1879,Flood,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Reduced Yield,Crop Failure,Reduced Yield,-40,-50,-35
2020,Abia,Osisioma,Dry,29.1,114,Normal,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Abia,Ugwunagbo,Wet,27.4,1922,Flood,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Crop Failure,Crop Failure,Reduced Yield,-50,-50,-35
2020,Abia,Ugwunagbo,Dry,28.2,105,Normal,Yam,Cassava,Rice,9,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Abia,Ukwa East,Wet,27,1781,Normal,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Abia,Ukwa East,Dry,28.7,148,Normal,Cassava,Rice,Maize,10,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Abia,Ukwa West,Wet,27.1,1875,Flood,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-40,-50,-50
2020,Abia,Ukwa West,Dry,28.5,147,Normal,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Abia,Umuahia North,Wet,27.4,1838,Flood,Cassava,Yam,Rice,10,9,4,Wet,Wet,Wet,Crop Failure,Crop Failure,Reduced Yield,-50,-50,-40
2020,Abia,Umuahia North,Dry,28.7,136,Normal,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Abia,Umuahia South,Wet,26.5,1780,Normal,Cassava,Rice,Maize,10,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Abia,Umuahia South,Dry,29.4,143,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Abia,Umu Nneochi,Wet,26.6,1881,Flood,Maize,Cassava,Yam,3,10,9,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-35,-50,-50
2020,Abia,Umu Nneochi,Dry,28.3,112,Normal,Cassava,Maize,Rice,10,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Adamawa,Demsa,Wet,26.7,1785,Normal,Cassava,Rice,Maize,10,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Demsa,Dry,28.8,133,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Fufore,Wet,26.7,1760,Flood,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Reduced Yield,Crop Failure,Reduced Yield,-35,-50,-40
2020,Adamawa,Fufore,Dry,28.3,90,Normal,Yam,Cassava,Maize,9,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Ganye,Wet,27.4,1649,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Ganye,Dry,28.5,126,Normal,Yam,Cassava,Maize,9,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Girei,Wet,26.7,1876,Normal,Yam,Rice,Cassava,9,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Adamawa,Girei,Dry,29,138,Normal,Yam,Maize,Rice,9,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Adamawa,Gombi,Wet,27,1762,Flood,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Reduced Yield,Crop Failure,Reduced Yield,-35,-50,-40
2020,Adamawa,Gombi,Dry,29.3,90,Normal,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Guyuk,Wet,27.3,1699,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Guyuk,Dry,29.4,128,Normal,Yam,Cassava,Maize,9,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Hong,Wet,27.5,1815,Normal,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Adamawa,Hong,Dry,28.8,118,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Jada,Wet,26.9,1987,Normal,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Jada,Dry,28.3,140,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Lamurde,Wet,26.9,1994,Normal,Maize,Yam,Cassava,3,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Lamurde,Dry,28.9,104,Normal,Yam,Rice,Maize,9,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Madagali,Wet,27.3,1602,Flood,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Crop Failure,Crop Failure,Reduced Yield,-50,-50,-35
2020,Adamawa,Madagali,Dry,28.5,124,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Maiha,Wet,27.5,1630,Flood,Yam,Maize,Rice,9,3,4,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-35,-40
2020,Adamawa,Maiha,Dry,28.3,110,Normal,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Adamawa,Mayo Belwa,Wet,27.2,1927,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Mayo Belwa,Dry,28.4,86,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Michika,Wet,27,1867,Flood,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-40,-50,-50
2020,Adamawa,Michika,Dry,29.2,91,Normal,Cassava,Rice,Maize,10,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Mubi North,Wet,26.9,1678,Flood,Rice,Maize,Cassava,4,3,10,Wet,Wet,Wet,Reduced Yield,Reduced Yield,Crop Failure,-40,-35,-50
2020,Adamawa,Mubi North,Dry,29.1,94,Normal,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Mubi South,Wet,27.1,1927,Flood,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Crop Failure,Reduced Yield,Crop Failure,-50,-40,-50
2020,Adamawa,Mubi South,Dry,29.5,143,Normal,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Numan,Wet,27,1935,Flood,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-40,-50,-50
2020,Adamawa,Numan,Dry,29.1,94,Normal,Rice,Cassava,Maize,4,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Shelleng,Wet,26.8,1680,Normal,Yam,Rice,Maize,9,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Shelleng,Dry,29.2,93,Normal,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Adamawa,Song,Wet,26.7,1840,Flood,Cassava,Rice,Maize,10,4,3,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-40,-35
2020,Adamawa,Song,Dry,29.4,86,Normal,Yam,Cassava,Rice,9,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Adamawa,Toungo,Wet,27,1692,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Adamawa,Toungo,Dry,29.1,98,Normal,Yam,Maize,Rice,9,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Adamawa,Yola North,Wet,26.8,1845,Flood,Rice,Maize,Yam,4,3,9,Wet,Wet,Wet,Reduced Yield,Reduced Yield,Crop Failure,-40,-35,-50
2020,Adamawa,Yola North,Dry,29,98,Normal,Yam,Rice,Cassava,9,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Adamawa,Yola South,Wet,27,1822,Flood,Yam,Rice,Cassava,9,4,10,Wet,Wet,Wet,Crop Failure,Reduced Yield,Crop Failure,-50,-40,-50
2020,Adamawa,Yola South,Dry,28.4,134,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Abak,Wet,27.4,1673,Flood,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Crop Failure,Reduced Yield,Crop Failure,-50,-40,-50
2020,Akwa Ibom,Abak,Dry,28.1,147,Normal,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Eastern Obolo,Wet,26.5,1998,Flood,Cassava,Maize,Rice,10,3,4,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-35,-40
2020,Akwa Ibom,Eastern Obolo,Dry,29.3,102,Normal,Yam,Cassava,Maize,9,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Eket,Wet,27.4,1725,Flood,Maize,Yam,Cassava,3,9,10,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-35,-50,-50
2020,Akwa Ibom,Eket,Dry,28.5,94,Normal,Yam,Rice,Maize,9,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Esit Eket,Wet,27.5,1834,Normal,Maize,Yam,Cassava,3,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Esit Eket,Dry,28.1,111,Normal,Maize,Rice,Cassava,3,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Essien Udim,Wet,26.9,1646,Flood,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Crop Failure,Reduced Yield,Crop Failure,-50,-40,-50
2020,Akwa Ibom,Essien Udim,Dry,28.1,106,Normal,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Etim Ekpo,Wet,26.6,1731,Normal,Rice,Cassava,Maize,4,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Etim Ekpo,Dry,28.2,86,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Etinan,Wet,27.3,1999,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Etinan,Dry,29.5,101,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Ibeno,Wet,26.6,1665,Normal,Yam,Cassava,Rice,9,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Ibeno,Dry,29,94,Normal,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Ibesikpo Asutan,Wet,26.8,1632,Flood,Cassava,Maize,Rice,10,3,4,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-35,-40
2020,Akwa Ibom,Ibesikpo Asutan,Dry,28.7,97,Normal,Cassava,Maize,Rice,10,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Ibiono Ibom,Wet,27.3,1629,Normal,Maize,Cassava,Yam,3,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Ibiono Ibom,Dry,28,82,Normal,Rice,Maize,Cassava,4,3,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Ika,Wet,27,1610,Flood,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-40,-50,-50
2020,Akwa Ibom,Ika,Dry,28.7,148,Normal,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Ikono,Wet,27.1,1973,Normal,Maize,Rice,Cassava,3,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Ikono,Dry,28.7,93,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Ikot Abasi,Wet,27.3,1684,Normal,Cassava,Maize,Yam,10,3,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Ikot Abasi,Dry,28.9,94,Normal,Rice,Cassava,Maize,4,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Ikot Ekpene,Wet,26.9,1889,Flood,Yam,Rice,Maize,9,4,3,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-40,-35
2020,Akwa Ibom,Ikot Ekpene,Dry,29.1,111,Normal,Cassava,Maize,Rice,10,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Ini,Wet,26.9,1957,Normal,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Ini,Dry,28.7,138,Normal,Cassava,Yam,Maize,10,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Itu,Wet,27.2,1876,Flood,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Reduced Yield,Crop Failure,Reduced Yield,-35,-50,-40
2020,Akwa Ibom,Itu,Dry,28.2,118,Normal,Maize,Rice,Cassava,3,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Mbo,Wet,27.3,1946,Flood,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Crop Failure,Reduced Yield,Crop Failure,-50,-40,-50
2020,Akwa Ibom,Mbo,Dry,28.9,120,Normal,Cassava,Rice,Maize,10,4,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Mkpat Enin,Wet,27.1,1989,Flood,Rice,Maize,Yam,4,3,9,Wet,Wet,Wet,Reduced Yield,Reduced Yield,Crop Failure,-40,-35,-50
2020,Akwa Ibom,Mkpat Enin,Dry,29.2,85,Normal,Cassava,Maize,Yam,10,3,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Nsit Atai,Wet,26.5,1601,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Nsit Atai,Dry,29.1,102,Normal,Rice,Maize,Cassava,4,3,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Nsit Ibom,Wet,26.9,1626,Normal,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Nsit Ibom,Dry,29,98,Normal,Maize,Cassava,Yam,3,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Nsit Ubium,Wet,27.4,1606,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Nsit Ubium,Dry,28.1,128,Normal,Rice,Maize,Yam,4,3,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Obot Akara,Wet,26.9,1877,Flood,Yam,Rice,Maize,9,4,3,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-40,-35
2020,Akwa Ibom,Obot Akara,Dry,28.6,114,Normal,Yam,Maize,Cassava,9,3,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Okobo,Wet,27.2,1632,Flood,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Reduced Yield,Reduced Yield,Crop Failure,-35,-40,-50
2020,Akwa Ibom,Okobo,Dry,29,81,Normal,Maize,Rice,Yam,3,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Onna,Wet,27.2,1641,Flood,Maize,Rice,Cassava,3,4,10,Wet,Wet,Wet,Reduced Yield,Reduced Yield,Crop Failure,-35,-40,-50
2020,Akwa Ibom,Onna,Dry,28.5,101,Normal,Yam,Maize,Cassava,9,3,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Oron,Wet,27.3,1773,Flood,Cassava,Maize,Yam,10,3,9,Wet,Wet,Wet,Crop Failure,Reduced Yield,Crop Failure,-50,-35,-50
2020,Akwa Ibom,Oron,Dry,28.7,89,Normal,Yam,Maize,Cassava,9,3,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Oruk Anam,Wet,26.6,1975,Normal,Rice,Yam,Maize,4,9,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Akwa Ibom,Oruk Anam,Dry,28,97,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Udung Uko,Wet,27.4,1723,Normal,Rice,Maize,Yam,4,3,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Udung Uko,Dry,28.2,121,Normal,Yam,Maize,Rice,9,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Ukanafun,Wet,27.1,1784,Normal,Yam,Maize,Cassava,9,3,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
2020,Akwa Ibom,Ukanafun,Dry,29,133,Normal,Rice,Yam,Cassava,4,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Uruan,Wet,26.5,1672,Normal,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Uruan,Dry,29.4,97,Normal,Yam,Cassava,Rice,9,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Urue-Offong/Oruko,Wet,27.2,1753,Normal,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Urue-Offong/Oruko,Dry,28.3,114,Normal,Cassava,Rice,Yam,10,4,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Akwa Ibom,Uyo,Wet,26.6,1978,Normal,Maize,Rice,Cassava,3,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Akwa Ibom,Uyo,Dry,28.1,83,Normal,Maize,Rice,Cassava,3,4,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Anambra,Aguata,Wet,27.1,1927,Normal,Rice,Cassava,Yam,4,10,9,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Anambra,Aguata,Dry,29.2,103,Normal,Maize,Yam,Cassava,3,9,10,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Anambra,Anambra East,Wet,27.3,1682,Flood,Yam,Maize,Rice,9,3,4,Wet,Wet,Wet,Crop Failure,Reduced Yield,Reduced Yield,-50,-35,-40
2020,Anambra,Anambra East,Dry,29.4,86,Normal,Rice,Cassava,Maize,4,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Anambra,Anambra West,Wet,27.4,1602,Flood,Maize,Yam,Cassava,3,9,10,Wet,Wet,Wet,Reduced Yield,Crop Failure,Crop Failure,-35,-50,-50
2020,Anambra,Anambra West,Dry,29.5,93,Normal,Yam,Cassava,Maize,9,10,3,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,10
2020,Anambra,Anaocha,Wet,26.6,1758,Normal,Maize,Yam,Rice,3,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Anambra,Anaocha,Dry,28.2,144,Normal,Cassava,Yam,Rice,10,9,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,15,15
2020,Anambra,Awka North,Wet,27.3,1861,Normal,Maize,Cassava,Rice,3,10,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,10,15,15
2020,Anambra,Awka North,Dry,28.2,135,Normal,Yam,Maize,Rice,9,3,4,Wet,Wet,Wet,Optimal Growth,Optimal Growth,Optimal Growth,15,10,15
